quests_title,quests_description,quests_objective
Of Mind and Matter,"You have been pulled from the ranks of slaves on Korriban and given a chance to complete the trials of the Sith Academy and become Sith, much to the disgust of your instructor, Overseer Harkun.
Your first trial is to find the sacrificial chamber in the tomb of Ajunta Pall and speak to the hermit Spindrall, who will test your worth. Go to the sacrificial chamber in the tomb of Ajunta Pall.",Enter the Sacrificial Chamber
Prove Your Worth,Give Overseer Harkun another reason to fear your power. Defeat the k’lor’slug cripplers in the tomb of Ajunta Pall.,Kill K’lor’slug Cripplers
Reclaiming the Valley,"You have been sent to the tomb of Ajunta Pall as part of your training at the Sith Academy. Before entering the tomb, you should hone your combat skills on the k’lor’slug foragers in the Valley of the Dark Lords.",Kill K’lor’slug Foragers
Take Back Drelliad Village,The separatists plaguing Ord Mantell have overrun Drelliad Village. Take these rebels out and restore order to the area.,Dispatch the Separatist Forces
The Path of a Jedi,"You have arrived on Tython, the ancient homeworld of the Jedi. Believing you have great potential, the Jedi Council has made you Padawan to a noted Master, Master Yuon Par. Unfortunately, you arrived during a crisis. The native Flesh Raiders have begun raiding the Gnarls, where several ancient “teaching holograms” have been uncovered.
Master Yuon Par has sent you to recover these priceless artifacts before they are destroyed. Speak to the speeder droid at the Masters’ Retreat for transport to the Gnarls.",Take the Speeder to the Gnarls
A Fighting Chance,"You have been told to report to the Sith Academy archives to receive training in your martial skills.
Go to the Sith Academy archives and speak to the Sith Inquisitor trainer.",Speak to the Sith Inquisitor Trainer
Best of the Best,"A fellow soldier mentioned that Fort Garnik has one of the best military training programs on Ord Mantell. He specifically recommended Lieutenant Forris as a highly experienced instructor for soldiers in the field.
Meet with Lieutenant Forris at Fort Garnik to find out what he can teach you.",Talk to Lieutenant Forris
Blinding the Enemy,"You’ve been tasked with taking out the separatist snipers near Fort Garnik. However, they don’t work alone–trackers, field scouts and other forces act as backup. Take out additional separatist forces on the road to Fort Garnik.",Defeat Separatist Forces
Bridging the Gap,"Commander Bragan’s walker was crippled by separatists wielding stolen Republic ordnance. You agreed to deal with this separatist threat before they attack again.
Take out the separatist rocket gunners in Mannet Point, and destroy their weapon caches.",Defeat Separatist Rocket Gunners
Captured Padawans,"While exploring the Gnarls, you found a cage with a dead Padawan, captured by the Flesh Raiders. Likely, there will be more captured Padawans awaiting their fate.
Find and release the unfortunate Padawans from their cages in the Gnarls.",Free Captured Padawans
Clean Up Talloran,Separatists have overrun Talloran village. Take out the henchman who are destabilizing the area.,Defeat Separatist Henchmen
Combat Leadership: Mark I,"Liam Dentiri instructs the many Padawans on Tython in physical combat. He has preprogrammed several combat scenarios to test your skills and abilities in battle and has offered you a chance to prove yourself.
You must first activate his droids to begin the scenario. Find one of the training consoles around the Jedi Temple courtyard, activate it, and complete the training scenario.",Activate and Destroy Mark I Training Droids
Desperate Times,"You delivered a shipment of blasters to Ord Mantell, only to be betrayed by Skavak, one of your contacts. Skavak stole your ship and the blaster shipment for the separatists. Fortunately, Corso Riggs’s employer, a man named Viidu, can help you find Skavak.
Go to the Rendia Freight building at Fort Garnik and speak to Viidu to locate Skavak.",Talk to Viidu
Dreams of Korriban,"A woman named Gianna has asked you to retrieve her Force-sensitive son, Zi’am. Gianna wishes to send Zi’am to the Sith Academy on Korriban, but her estranged husband Kendrel, a washout of the Sith Academy, has kidnapped Zi’am.
A comm officer named Mekks told Gianna that Kendrel and Zi’am were spotted in the spaceport. Head to the the Jiguuna spaceport and speak with Mekks.",Speak to Gianna
Early Lessons,"Master Relnex has become concerned about a group of lost Padawans in the Gnarls. Flesh Raiders have been moving into the area, and the unprepared Padawans may have entered a fight they couldn’t win.
Master Relnex asked you to locate the lost Padawans and find out if they’re injured… or worse. Locate the lost Padawans in the Gnarls and find out what happened to them.",Defeat Flesh Raiders
Friends in Common,"You have run into an “old friend” at Nem’ro’s palace who insinuated that your handler, Keeper, wants you better equipped. To accomplish this, she has arranged for you to meet a “new friend” in Jigunna.
Travel to Jiguuna and meet with your “new friend” for equipment and training.",Report to Your “New Friend”
Imperial Edict,"In the tomb of Ajunta Pall, you found a military datapad containing information on Imperial Edict 936. The order authorized the use of deadly force against mercenaries looting the tombs. Recovering any artifacts looted so far might also net you a bonus.
Carry out Imperial Edict 936. Kill the invading looters inside the tomb of Ajunta Pall, and search their storage containers for any stolen artifacts.",Defeat Tomb Looters
Learning from the Best,"You have been told to report to the Sith Academy library and receive training in your martial skills from Overseer Rance, the Sith Warrior trainer.",Speak to Overseer Rance
Legitimate Business,"A local named Tweeta has advised you to go see Wentell in Fort Garnik. She says that he’s the man you want to see if you want to learn the tips and tricks you’ll need to stay alive on Ord Mantell.
Speak to Wentell in Fort Garnik.",Report to Wentell
Snipe Hunt,"Private Wesner warned you about separatist snipers camped in the nearby hills. A reward’s being offered to anyone able to clear them out and make the roads safe again.
Take out the separatist snipers and sharpshooters in the hills between Drelliad village and Fort Garnik.",Defeat Separatist Snipers
The Arm That Holds the Saber,"Aven, a fellow Jedi, has recommended you speak with Master Muheeda to improve your skills.
Speak with Master Muheeda on the upper level of the Jedi Temple.",Speak with Master Muheeda
The Flesh Raider Menace,"The Flesh Raiders are a menace to the Gnarls. Clear out the Flesh Raider hunters, scouts and berserkers in the Gnarls.",Defeat Flesh Raiders
The Spy,"As the newest member of the Republic’s elite Havoc Squad, you’re joining in their hunt for a ZR-57 orbital strike bomb stolen by separatist forces on the war-torn world of Ord Mantell.
Commander Tavus, the leader of Havoc Squad, has issued your first orders: Meet with a Republic spy named Bellis and find out what he’s learned from his separatist sources about the bomb’s whereabouts. Make your way to Talloran village and rendezvous with Bellis.",Find Bellis
Tools of the Trade,"Xenteel, a regular at the Poison Pit cantina, has told you that he and his partner Zinny run a bounty hunter outfitting business. He told you that you should visit Zinny at their shop in Jiguuna to outfit yourself with the latest in hunting equipment and tech.
Travel to Zinny’s shop in Jiguuna.",Report to Zinny
Unsafe Safe Houses,"The Republic military is offering a bounty for neutralizing separatist safe houses used for transferring stolen Republic data.
Locate the separatists’ safe houses in Talloran village, and shut down the datalinks feeding their network.",Disable Datalink Alpha
Wisdom of Elders,"Hallen, a young Jedi, has given you a message from Master Yuon Par. You are to seek additional training from Master Wettle, who is an expert in physical combat.
You can find Master Wettle on the upper level of the Jedi Temple.",Speak with Master Wettle
Clear The Mountain Path,"The mountain path is overrun with Flesh Raiders who are enslaving the Twi’lek Pilgrims.
Drive off these despicable predators. Defeat the Flesh Raider slavers and slavemasters on the mountain path.",Defeat Flesh Raider Slavers and Slavemasters
Clear the Way to Oradam,Separatist forces have taken up positions along the path to Oradam Village. Find and take out the separatist rangefinders blocking your way.,Eliminate the Separatist Rangefinders
Counter-Insurgency,"The road to Fort Garnik is not only trapped with explosives, but swarming with separatists. Thin the number of separatists on the road from Fort Garnik to Oradam Village to clear the supply route.",Eliminate the Separatist Forces
Ending the Insurgency,The road to Mannett Point is battle-scarred. Separatist forces are pushing further and further towards Fort Garnik every day. Defeat the separatist forces along the road from Fort Garnik to Mannett Point.,Defeat Separatist Forces
High-Tech Savages,"After completing your mission in the Gnarls, you spoke with Master Satele Shan, head of the Jedi Council. She discussed your encounter with the Flesh Raiders before instructing you to meet with the Jedi Council.
To speak with Master Orgus and the rest of the Council, report to the Jedi Council chambers located in the upper level of the Jedi Temple.",Speak with T7
Hungry for Information,"Skavak, a separatist traitor, has stolen your ship and cargo. Viidu believes that Reki, a Republic contact in Talloran, can help track Skavak down.
To reach Reki, you’ll have to help reduce the separatist forces occupying Talloran. You must defeat the separatists in Talloran before you can speak with Reki.",Defeat Separatist Forces
Judge and Executioner,"Overseer Tremel has administered the second trial, one that will allow you to show your wisdom and understanding of the dark side.
Your mission is to judge three prisoners in the Sith Academy jails. Meet with Jailer Knash in the Sith Academy jails for further instructions.",Return to Overseer Tremel
Lost Son,"Refugees Ellis and Iero are looking for their son who was kidnapped by the separatists years ago. Paul was presumed dead until someone spotted him at Mannett Point. Ellis begged you to find her son.
Search for Paul, the refugees’ son, in the separatists’ base at Mannett Point.",Return to Ellis and Iero
Low-Tech Methods,Defeat Flesh Raider Tech Salvagers and Pillagers in the Upper Hollows.,Defeat Flesh Raiders
Mercy,"Sergeant Hurd discovered that medicine has been stolen from Fort Garnik’s stock. He believes a Cathar at the refugee camp may be responsible.
Speak with the Cathar named Yael at the refugee camp in Fort Garnik to determine her involvement.",Speak to Yael
Pilgrims,"Master Yuon Par has tasked you with locating and retrieving the missing hologram of Rajivari, the first fallen Jedi.
She suspects that someone from the Twi’lek village of Kalikori may be responsible and that Bashenn, captain of the village guard, may know more. Find Bashenn in Kalikori village.",Speak to Bashenn
Preying on Thieves,"Local scavengers have been looting the homes of refugees from Talloran village, preying on the victims of Ord Mantell’s bloody war. Defeat the scavengers near Talloran village to show them that the Republic will not turn a blind eye to their actions.",Eliminate the Scavengers
Scavenger Hunt,"Alma, a refugee staying in Fort Garnik, lost everything when she evacuated Talloran village. You agreed to recover her most cherished possession: an heirloom necklace.
Search Alma’s abandoned home in Talloran village for her lost heirloom.",Find Alma’s Heirloom
Sending a Message,There is always a ready supply of henchmen and thugs for outlaws like Vexx. Send a message to the underworld that signing on with scum like him is a death sentence as long as you’re in town. Eliminate Vexx’s thugs and mercenaries in the spaceport hangar.,Defeat Vexx’s Crew
Soiree,"Operating undercover as the pirate “the Red Blade,” you’ve been assigned to win Nem’ro the Hutt’s allegiance for the Empire. You must introduce yourself to Nem’ro and deliver his tribute–surveillance equipment disguised as gifts.
Proceed to Nem’ro’s palace in Jiguuna and seek an audience with the Hutt.",Speak to Nem’ro
Stop the Raiders,"Separatists guard a relay hub on an island northeast of Talloran village. Cut down the separatist raiders, stalkers, lookouts and sentinels there to weaken their grip on the area.",Defeat Separatist Forces
Survival of the Fittest,Nalen Raloch’s groundquake has attracted the attention of the local Flesh Raiders. Now they stand between you and the cave exit. You’ll have to fight your way out of the lower hollows cave if you wish to survive.,Defeat Flesh Raiders
The Ambush,"Havoc Squad is working to locate a ZR-57 orbital strike bomb stolen by separatist forces on the war-torn world of Ord Mantell. A refugee named Mirru claims to have information on the separatists’ plans for the bomb, so Fuse and Lieutenant Jorgan have ordered you to investigate.
Meet Mirru in the refugee camp outside the northern entrance to Fort Garnik.",Speak to Mirru
The Last Flight,"Mako has cracked Vexx’s datapad, and it shows that he’s prepping a shuttle to leave the planet. Braden is sure that if you can stop him, you can win Nem’ro’s Great Hunt sponsorship.
Head to Vexx’s hangar in the Jiguuna spaceport, and stop Vexx from taking off.",Go to Vexx’s Hangar
The Plight Of The Acolyte,"Overseer Harkun has given you your second trial, but not many details. You must report to Inquisitor Zyn in the Academy jail to receive further instructions.
Go to the Sith Academy jail and speak to Inquisitor Zyn.",Speak to Inquisitor Zyn
The Untold Story,"A war correspondent named Lamalla Rann was taking holorecordings of the separatist uprising on Mannett Point when she and her partner were attacked. Lamalla lost her holorecordings in the chaos, and she wants them back–along with her partner, Waxx, if he’s still alive.
Locate Waxx and his holodiscs in the separatists’ base at Mannett Point.",Loot the Holodiscs
A Slight Lean,"While passing through the cantina at Nem’ro’s palace, you met Morsel, who was hired by Nem’ro to keep his enforcers in line. He’s had a hard time earning respect and asks you to go to the Evocii work camp and lean on the chief enforcer a bit.
Go to the Voam Evocii village and have a talk with the chief enforcer.",Speak with the Chief Enforcer
Allegiance,"Inquisitor Arzanon, head of Academy security, has tasked you with rooting out and destroying the Sith acolyte traitors who plot to overthrow the Empire.
Use Inquisitor Arzanon’s ID scanner to identify the traitors among the acolyte initiates in the Valley of the Dark Lords. If they are found to be disloyal, punish them.",Scan and Defeat Acolyte Initiates
Bringing the Battle to Them,"Mannett Point is guarded by the separatists’ strongest fighters, dangerously tweaked by stims. Taking out the separatist battlers will clear the way for Republic forces to follow.",Defeat Separatist Battlers
Combat Leadership: Mark II,"Liam Dentiri instructs the many Padawans on Tython in physical combat. He has preprogrammed several combat scenarios to test your skills and abilities in battle and has offered you a chance to prove yourself.
You have successfully completed the first scenario, and Liam has urged you to try a second, more challenging one. Find one of the training consoles around the Jedi Temple courtyard, activate it, and complete the training scenario.",Activate and Destroy Mark II Training Droids
Guards of the Leader,Defeat the Flesh Raider Adept Initiates around the ancient shrine in Kaleth.,Defeat Flesh Raider Adept Initiates
Hero Worship,"Padawan Fia, a new recruit to the Jedi Order, has asked you to deliver a holorecording to Jedi Till’in in the ruins of Kaleth. The ruins have been deemed too dangerous for Padawans of Fia’s level.
Deliver the holorecording to Jedi Till’in near the ruins of Kaleth.",Speak to Jedi Till’in
Hero Worship: Credits,"Padawan Fia, a new recruit to the Jedi Order, has asked you to deliver a holorecording to Jedi Till’in in the ruins of Kaleth. The ruins have been deemed too dangerous for Padawans of Fia’s level.
Deliver the holorecording to Jedi Till’in near the ruins of Kaleth.",Speak to Jedi Till’in
Hero Worship: Gadget,"Padawan Fia, a new recruit to the Jedi Order, has asked you to deliver a holorecording to Jedi Till’in in the ruins of Kaleth. The ruins have been deemed too dangerous for Padawans of Fia’s level.
Deliver the holorecording to Jedi Till’in near the ruins of Kaleth.",Speak to Jedi Till’in
Lost Pilgrim,"Tazonthe Ghon, a Twi’lek Pilgrim living in Kalikori village, has told you that one of his people’s patrols were attacked by the Flesh Raiders. His father was one of the scouts who did not return.
Tazonthe wants you to find out what’s happened to his father. Search the caves near Kalikori for any sign of his fate. If you find any sign of Tazonthe’s father, return to Kalikori village and inform Tazonthe of what’s happened.",Find Tazonthe Ghon’s Father
Lovers and Secrets,"Master Silvarte and Master Yollo believe their Padawans, Moracen and Spanios, are involved in a romantic relationship. Such passions could lead them to forsake their training and lead to the dark side.
Master Silvarte and Master Yollo have asked you to confront Moracen and Spanios and discover the truth of their relationship. Travel to the ruins of Kaleth and speak with Moracen and Spanios.",Return to Moracen
Mannett Point,"Havoc Squad’s hunt for the stolen ZR-57 orbital strike bomb has led to a separatist base on the island of Mannett Point. Wraith, the squad’s infiltration expert, has been sent ahead to breach the facility, but she will need your help to enter the secured area where the bomb is believed to be held.
Rendezvous with Wraith inside the separatist base at Mannett Point.",Disable the Force Field Generator
Security Breach,"The computer at the separatist base in Mannett Point can lead you to Skavak and your stolen ship.
To access the computer, you need to find the encrypted maintenance tunnel schematics hidden inside Reki’s abandoned house. Unfortunately, his house is locked. Disable the power relays in Mannett Point to gain access to Reki’s house.",Speak to Syreena
Strength of the Flesh Raiders,"Vederiat Ayon, a leader among the Kalikori villagers, has told you that the Flesh Raiders are becoming stronger because of an elixir they’ve concocted that makes them ravenous. She believes depriving the Flesh Raiders of these elixirs will cause them to become less aggressive.
She has asked you to destroy the vats the elixirs are created in. Odumis Mer, the village guard captain, can tell you where the elixir vats are located.
Speak with Odumis Mer in Kalikori village to learn the locations of the elixir vats.",Retrieve the Elixir
The Thousand Steps,"Yuleph Phan, master of rituals in Kalikori village, has offered you the chance to complete a dangerous rite of passage that will prove your worth to the villagers.
To complete the rite, you must light the signals along the path to Kolovish, a revered former Matriarch who now lives in the mountains of Tython. Many Padawans have attempted the rite, but not all have succeeded. Take the burning brand and light the signals along the path to Kolovish’s home.",Light the First Signal
Time For Some Payback,"Separatist forces have wreaked havoc on the people of Ord Mantell. Now that you’ve infiltrated Mannett Point, it’s time to return the favor. Take out the separatist forces on Mannett Point.",Eliminate Separatist Forces
Trials in Kaleth,"After watching the holorecording of Master Rajivari, Master Yuon Par has tasked you with finding the Fount of Rajivari, an archive of long-lost knowledge. The first step is to find the “first blade” that was mentioned in the holorecording.
Yuon suggested investigating an area in Lower Kaleth where several ancient weapons have been unearthed. Explore the walls of Lower Kaleth for the first blade.",Search for the First Blade
Victims of War,"Lieutenant Xorem wants the brilliant Doctor Jaen Kett rescued from the separatists in Mannett Point. You agreed to find the doctor so he can continue to aid the Republic effort.
Search Mannet Point for Doctor Kett.",Find Doctor Jaen Kett
You Can’t Hide Forever,"Viidu and Rogun the Butcher are both at odds with the separatists, and you’ve just found a whole nest of them. Taking these guys out may garner some extra support from Viidu, and buy some time with Rogan.
Eliminate the resistance forces within the separatists’ hideout.",Defeat Separatist Forces
A Little Knowledge,"Overseer Harkun has issued your third trial. You are to travel to the wilds of Korriban and enter the tomb of Marka Ragnos. There, you need to retrieve an ancient holocron that no Sith has been able to retrieve for a thousand years.
Speak to the shuttle droid outside of the Academy and take a taxi to the lower wilds.",Take a Taxi to the Lower Wilds
Big Chief,"Braden and Jory have been murdered by a rival bounty hunter named Tarro Blood. Gaining Nem’ro’s support for the Great Hunt will be even more difficult now.
Mako suggested that you try to get on the Hutt’s good side before meeting him in person by taking out some of his rivals’ gang members. Head into Jiguuna and defeat Fa’artha the Hutt’s street captains.",Use Your Personal Holocom
Clean Up The Factory,"While rescuing prisoners, bring justice to the renegade Evocii for their crimes against the plant’s workers. Take out any renegade Evocii you find at the Old Muckworks.",Eliminate Renegade Evocii
Clear Out Tythos Ridge,"Flesh Raiders have overrun Tythos Ridge and littered the ground with the bones of their victims.
Help make Tythos Ridge safer by clearing out the Flesh Raider deathwatchers, scavengers and boneguards who patrol these lands.",Defeat Flesh Raiders
Clear the Filter Station,A band of renegade Evocii is terrorizing the area around the filter station; defeat them to ensure they don’t interfere with your mission.,Defeat Renegade Evocii
Clearing the Camps,"Something drove the troopers in the lower wilds berserk. Cull their weakness from the planet by eliminating all Crazed, Berserk, and Psychotic forces in the Lower Wilds.",Defeat Crazed Forces
Combat Leadership: Mark III,"Liam Dentiri instructs the many Padawans on Tython in physical combat. He has preprogrammed several combat scenarios to test your skills and abilities in battle and has offered you a chance to prove yourself.
You have successfully completed the first and second scenarios, and Liam hopes to challenge you with the third. Find one of the training consoles around the Jedi Temple courtyard, activate it, and complete the training scenario.",Activate and Destroy Mark III Training Droids
Dark Science,"Lord Renning’s dark experiments were interrupted when his specimen, a mutant tuk’ata, escaped. You agreed to recover the brain of this mutant beast, but only his apprentice knows where the creature escaped to.
Speak with Malora at the Wilds Laboratory to pick up the mutant tuk’ata’s trail.",Return to Lord Renning
Deadly Delivery,"Viidu needs time to decode the separatists’ data you’ve retrieved. While he tries to locate Skavak, you’ll have to keep Rogan the Butcher off Viidu’s back.
Viidu needs you to retrieve unstable chemicals from a contact named Trymbo in Oradam village and bring them back safely. Speak to Trymbo at his house in Oradam village.",Go to Trymbo’s House
Deadly Delivery,"Viidu needs time to decode the separatists’ data you’ve retrieved. While he tries to locate Skavak, you’ll have to keep Rogan the Butcher off Viidu’s back by taking on a dangerous mission known as the “Big Boom Run.”
Corso Riggs has asked to speak with you in private before you set out. Speak to him inside of Rendia Freight in Fort Garnik before leaving for the Big Boom Run.",Speak to Corso Riggs
Destroying the Deserters,Acolyte Deserters hide from persecution in the tomb of Marka Ragnos. Crush them.,Defeat the Acolyte Deserters
Enemy Force,"Flesh Raiders are making incursions into an ancient Jedi shrine within the ruins of Kaleth. Master Orgus Din has left you to deal with this while he consults the Jedi Council about the contents of T7’s holorecording.
You must travel to the ruins of Kaleth and explore the ancient shrine to learn why the Flesh Raiders have suddenly become interested in it.",Explore the Ancient Shrine
Experimental Needs,"Acolyte Krevan informed you that Lord Varacen is paying well for tuk’ata bone marrow samples.
Kill tuk’ata in the outskirts surrounding the tomb of Marka Ragnos and extract their bone marrow.",Collect Bone Marrow Samples
Flesh Eating Baby,"While traveling through Tython, you happened upon a Flesh Raider corpse and noticed something moving in its backpack. You checked the backpack and found a Flesh Raider child. The child was alive and friendly, but obviously starved. Master Quilb at the Jedi Temple would care for the child, but it will not survive a trip to the temple without food.
There are several guid roaming the area that might provide a meal for the child. Kill guid along the mountain path and harvest their meat.",Gather Guid Meat
Guardians of the Past,"Long ago, the Tythonian droids served and protected the ancient Jedi of Kaleth. Time, however, has ravaged their bodies and their circuits. Now they are crazed, attacking anything that enters the ruins. They pose a threat to both the ruins themselves, and any Padawans undertaking their trials here.
Destroy any Tythonian seekers and watchers you find in Lower Kaleth.",Destroy Tythonian Droids
Hail the Liberators,"Odar’s daughter, Qo’el, was kidnapped by Republic soldiers and taken to Fort Garnik. You have agreed to investigate her disappearance.
Head to Fort Garnik and search for Odar’s Daughter.",Return to Odar
Hunter’s Eye,"Master Yuon Par has deciphered the second clue from Rajivari’s hologram.
She has asked you to take the hilt of the first blade to a cave where the founders of the Jedi Order once meditated, and look for some way to use it. Search for clues in the Flesh Raider cave.",Return to Master Yuon Par
Keeping Them in Line,Eliminate the Evocii found within the renegade Evocii camp on Hutta.,Defeat Renegade Evocii Forces
Marked Evocii,Defeat the Evocii found within the renegade Evocii camp on Hutta.,Defeat Renegade Evocii Forces
Oradam Village,"Needles has found a new lead in Havoc Squad’s hunt for the stolen ZR-57 orbital strike bomb. A man named Zak from nearby Oradam village came to Fort Garnik seeking treatment for radiation poisoning affecting both himself and his wife; the couple could easily have contracted radiation poisoning after handling the bomb.
Needles wants you to interrogate Zak and his wife to find out more, but before you do, you’ll need to recover several medical ingredients to cure the radiation poisoning. Recover vimidone, albozene and a medical injector from the scavengers at the camp west of Oradam village.",Return to Lieutenant Jorgan
Republic Roulette,"On the road to Oradam, you’ve discovered that several Republic soldiers have created a game in which onlookers bet on refugees running through a minefield. The field is full of unexploded mortar shells, and anyone who can retrieve three without blowing up wins a prize.
You’ve decided to partake in the action. Corporal Dregg has instructed you to speak to Ensign Peters on the road to Oradam village to learn more.",Return to Ensign Peters
Republic Roulette: Questionable Ethics,"On the road to Oradam, you’ve discovered that several Republic soldiers have created a game in which onlookers bet on refugees running through a minefield. The field is full of unexploded mortar shells, and anyone who can retrieve three without blowing up wins a prize.
You’ve decided to report their actions to the ethics officer. Report to Ethics Officer Drage in Fort Garnik.",Report to Ethics Officer Drage
Reward Failure Accordingly,Acolyte Deserters hide from persecution in the tomb of Marka Ragnos. Crush them.,Defeat the Acolyte Deserters
Silence the Screechers,Shyracks have made their nest inside the monument chamber of the tomb of Marka Ragnos. Unleash your hatred upon them and silence their infernal screeching.,Kill Shyrack Screechers
Slaying the Beast,"Overseer Tremel has handed down your third trial–you must slay a great beast in the tomb of Marka Ragnos.
Journey to the tomb of Marka Ragnos and discover the antechamber containing the ancient Sith carving. Then, meditate on the dark side to summon the beast. Speak to the shuttle droid outside of the Academy and take a taxi to the lower wilds.",Return to Overseer Tremel
Subverting Karrels Javis,"Now working undercover as the pirate “the Red Blade,” you’ve been assigned to earn the trust of Karrels Javis–the weak link in Nem’ro the Hutt’s criminal organization.
Meet with Karrels in Nem’ro’s palace and find a way to help him regain Nem’ro’s favor.",Speak to Odeph
Tech Jealousy,"You discovered a dead Rodian bounty hunter who was apparently looking for one of Fa’athra’s mining droids. A datapad found on the corpse indicated that Doctor Terrab, a researcher, would reward anyone who brought him a datacore from one of these mining droids.
Go to the swamps south of the hostile Evocii village. Find and destoy a Fa’athra mining droid and loot the datacore from it.",Retrieve a Fa’athra Mining Droid Datacore
The Last Defenders,"You delivered a holorecording from Padawan Fia to Jedi Till’in in the ruins of Kaleth. Jedi Till’in has been occupied examining the ancient droids that still wander the area. The droids have become increasingly hostile towards intruders, but Jedi Till’in doesn’t understand why.
He has asked you to brave the hostile droids, scan their cognitive units and return the data to him for further analysis. Enter the lower ruins of Kaleth, disable Tythonian seekers and then scan them. Once the scanner’s memory is full, return to Jedi Till’in at the forward camp between Kaleth and the Tythos River Valley.",Disable and Scan Tythonian Seekers
Thin the Flesh Raider Ranks,"The cunning Flesh Raiders are crafting makeshift weapons.
On your way through the Hollows, thin out their ranks by defeating Flesh Raider loreseekers, salvagers, stalkers, shamans and beast handlers.",Defeat Flesh Raiders
